key	what it is for / what to preserve	en (English)	am (አማርኛ)	om (Afaan Oromoo)	ti (ትግርኛ)	so (Soomaali)	sw (Kiswahili)	reviewer notes
ui.cannot_move_money	Button, label or placeholder. Keep it short — it has to fit the same space as the English.	Move money — deposits, withdrawals or transfers	ገንዘብ ማንቀሳቀስ — ማስገባት፣ ማውጣት ወይም ማስተላለፍ	Maallaqa sochoosuu — galchuu, baasuu yookaan dabarsuu	ገንዘብ ምንቅስቓስ — ምእታው፣ ምውጻእ ወይ ምትሕልላፍ	Dhaqaajinta lacagta — dhigasho, qaadasho ama wareejin	Kuhamisha pesa — amana, uondoaji au uhamishaji	
ui.cannot_change_pin	Button, label or placeholder. Keep it short — it has to fit the same space as the English.	Change your PIN, password or security details	የእርስዎን ፒን፣ የይለፍ ቃል ወይም የደህንነት መረጃ መቀየር	PIN, jecha darbii yookaan odeeffannoo nageenyaa kee jijjiiruu	ፒንካ፣ መሕለፊ ቃልካ ወይ ናይ ድሕነት ሓበሬታኻ ምቕያር	Beddelidda PIN-kaaga, furahaaga sirta ah ama macluumaadka amniga	Kubadilisha PIN, nenosiri au taarifa za usalama	
ui.teller_offer_title	Button, label or placeholder. Keep it short — it has to fit the same space as the English.	Speak to a {bank} teller	ከ{bank} ገንዘብ ያዥ ጋር ይነጋገሩ	Hojjetaa herregaa {bank} waliin haasa'i	ምስ ሰራሕተኛ ሕሳብ {bank} ተዘራረብ	La hadal shaqaale xisaabeed oo {bank}	Zungumza na afisa wa {bank}	
ui.teller_offer_sub	Button, label or placeholder. Keep it short — it has to fit the same space as the English.	Available now — audio or video	አሁን ይገኛል — በድምጽ ወይም በቪዲዮ	Amma ni argama — sagalee yookaan viidiyoo	ሕጂ ኣሎ — ብድምጺ ወይ ብቪድዮ	Hadda wuu diyaar yahay — cod ama fiidiyow	Inapatikana sasa — sauti au video	
ui.connect	Button, label or placeholder. Keep it short — it has to fit the same space as the English.	Connect	ተገናኝ	Wal qunnami	ተራኸብ	Ku xidh	Unganisha	
ui.teller_sheet_title	Button, label or placeholder. Keep it short — it has to fit the same space as the English.	Speak to a teller	ከገንዘብ ያዥ ጋር ይነጋገሩ	Hojjetaa herregaa waliin haasa'i	ምስ ሰራሕተኛ ሕሳብ ተዘራረብ	La hadal shaqaale xisaabeed	Zungumza na afisa	
ui.teller_when_talk	Button, label or placeholder. Keep it short — it has to fit the same space as the English.	Straight away	ወዲያውኑ	Battalumatti	ብቐጥታ	Isla markiiba	Mara moja	
ui.teller_when_account	Button, label or placeholder. Keep it short — it has to fit the same space as the English.	Once they have checked your ID	መታወቂያዎን ካረጋገጡ በኋላ	Erga waraqaa eenyummaa kee mirkaneessanii booda	መንነትካ ምስ ኣረጋገጹ	Marka ay aqoonsigaaga hubiyaan	Baada ya kukagua kitambulisho chako	
ui.teller_never_money	Button, label or placeholder. Keep it short — it has to fit the same space as the English.	Not on this call, ever	በዚህ ጥሪ ላይ በፍጹም አይደለም	Bilbila kana irratti, gonkumaa miti	ኣብዚ ጻውዒት እዚ፣ ፈጺሙ ኣይኮነን	Wicitaankan, waligeed maya	Sio kwenye simu hii, kamwe	
ui.audio	Button, label or placeholder. Keep it short — it has to fit the same space as the English.	Audio	ድምጽ	Sagalee	ድምጺ	Cod	Sauti	
ui.video	Button, label or placeholder. Keep it short — it has to fit the same space as the English.	Video	ቪዲዮ	Viidiyoo	ቪድዮ	Fiidiyow	Vidio	
ui.not_now	Button, label or placeholder. Keep it short — it has to fit the same space as the English.	Not now	አሁን አይደለም	Amma miti	ሕጂ ኣይኮነን	Hadda maya	Sio sasa	
ui.join_queue	Button, label or placeholder. Keep it short — it has to fit the same space as the English.	Join the queue	ወረፋ ይያዙ	Sarara seeni	ሰልፊ እቶ	Safka gal	Jiunge na foleni	
ui.waiting_for_teller	Button, label or placeholder. Keep it short — it has to fit the same space as the English.	Waiting for a teller	ገንዘብ ያዥ በመጠበቅ ላይ	Hojjetaa herregaa eegaa jira	ሰራሕተኛ ሕሳብ ይጽበ ኣሎ	Waxaa la sugayaa shaqaale xisaabeed	Inasubiri afisa	
ui.leave_queue	Button, label or placeholder. Keep it short — it has to fit the same space as the English.	Leave the queue	ከወረፋ ውጣ	Sarara gadi dhiisi	ካብ ሰልፊ ውጻእ	Safka ka bax	Ondoka kwenye foleni	
ui.left_queue	Button, label or placeholder. Keep it short — it has to fit the same space as the English.	You've left the queue. I'm here if there's anything else I can help with.	ከወረፋው ወጥተዋል። ሌላ የምረዳዎት ነገር ካለ እዚህ ነኝ።	Sarara gadi dhiifteetta. Wanti biraa si gargaaru yoo jiraate asuman jira.	ካብ ሰልፊ ወጺእካ። ካልእ ዝሕግዘካ እንተሎ ኣብዚ ኣለኹ።	Safkii waad ka baxday. Haddii wax kale aan kaa caawiyo jiraan, halkan ayaan joogaa.	Umeondoka kwenye foleni. Nipo hapa kama kuna kingine ninaweza kukusaidia.	
ui.call_with_teller	Button, label or placeholder. Keep it short — it has to fit the same space as the English.	Call with a teller	ከገንዘብ ያዥ ጋር ጥሪ	Hojjetaa herregaa waliin bilbila	ምስ ሰራሕተኛ ሕሳብ ጻውዒት	Wicitaan shaqaale xisaabeed	Piga simu na afisa	
ui.connecting	Button, label or placeholder. Keep it short — it has to fit the same space as the English.	Connecting…	በመገናኘት ላይ…	Wal qunnamaa jira…	ይራኸብ ኣሎ…	Waa la xidhiidhinayaa…	Inaunganisha…	
ui.reconnecting	Button, label or placeholder. Keep it short — it has to fit the same space as the English.	Reconnecting…	እንደገና በመገናኘት ላይ…	Irra deebi'ee wal qunnamaa jira…	እንደገና ይራኸብ ኣሎ…	Dib ayaa loo xidhiidhinayaa…	Inaunganisha upya…	
ui.messages	Button, label or placeholder. Keep it short — it has to fit the same space as the English.	Messages	መልእክቶች	Ergaawwan	መልእኽትታት	Fariimaha	Ujumbe	
ui.close_messages	Button, label or placeholder. Keep it short — it has to fit the same space as the English.	Close messages	መልእክቶችን ዝጋ	Ergaawwan cufi	መልእኽትታት ዕጾ	Xidh fariimaha	Funga ujumbe	
ui.type_message	Button, label or placeholder. Keep it short — it has to fit the same space as the English.	Type a message…	መልእክት ይጻፉ…	Ergaa barreessi…	መልእኽቲ ጽሓፍ…	Qor fariin…	Andika ujumbe…	
ui.camera	Button, label or placeholder. Keep it short — it has to fit the same space as the English.	Camera	ካሜራ	Kaameeraa	ካመራ	Kamarad	Kamera	
ui.show_my_id	Button, label or placeholder. Keep it short — it has to fit the same space as the English.	Show my ID	መታወቂያዬን አሳይ	Waraqaa eenyummaa koo agarsiisi	መንነተይ ኣርኢ	Tus aqoonsigayga	Onyesha kitambulisho changu	
ui.end_call	Button, label or placeholder. Keep it short — it has to fit the same space as the English.	End call	ጥሪውን ጨርስ	Bilbila xumuri	ጻውዒት ወድእ	Jooji wicitaanka	Maliza simu	
ui.hold_id_to_camera	Button, label or placeholder. Keep it short — it has to fit the same space as the English.	Hold your Fayda ID up to the camera	የፋይዳ መታወቂያዎን ወደ ካሜራው ያሳዩ	Waraqaa eenyummaa Fayda kee kaameeraatti agarsiisi	መንነት ፋይዳኻ ናብ ካመራ ኣርኢ	Aqoonsigaaga Fayda kamaradda u muuji	Shikilia kitambulisho chako cha Fayda mbele ya kamera	
ui.label_product_guidance	Button, label or placeholder. Keep it short — it has to fit the same space as the English.	Product guidance	የምርት መመሪያ	Qajeelfama oomishaa	መምርሒ ፍርያት	Hagitaan alaab	Mwongozo wa bidhaa	
ui.label_competitive	Button, label or placeholder. Keep it short — it has to fit the same space as the English.	Competitive query	የተፎካካሪ ጥያቄ	Gaaffii dorgomtootaa	ሕቶ ተወዳደርቲ	Su'aal tartan	Swali la ushindani	
ui.label_advice_guard	Button, label or placeholder. Keep it short — it has to fit the same space as the English.	Advice guardrail	የምክር ጥበቃ	Eegumsa gorsaa	ሓለዋ ምኽሪ	Ilaalinta talada	Ulinzi wa ushauri	
ui.label_account_guard	Button, label or placeholder. Keep it short — it has to fit the same space as the English.	Account-data guardrail	የሂሳብ መረጃ ጥበቃ	Eegumsa odeeffannoo herregaa	ሓለዋ ሓበሬታ ሕሳብ	Ilaalinta macluumaadka xisaabta	Ulinzi wa taarifa za akaunti	
ui.label_complaint	Button, label or placeholder. Keep it short — it has to fit the same space as the English.	Complaint	ቅሬታ	Komii	ጥርዓን	Cabasho	Malalamiko	
ui.label_contact_saved	Button, label or placeholder. Keep it short — it has to fit the same space as the English.	Contact saved	አድራሻ ተቀምጧል	Qunnamtiin olkaa'ameera	መራኸቢ ተዓቂቡ	Xiriirka waa la keydiyay	Mawasiliano yamehifadhiwa	
ui.label_knowledge_gap	Button, label or placeholder. Keep it short — it has to fit the same space as the English.	Knowledge gap	የመረጃ ክፍተት	Qaawwa odeeffannoo	ጋግ ሓበሬታ	Farqiga macluumaadka	Pengo la maarifa	
ui.label_general	Button, label or placeholder. Keep it short — it has to fit the same space as the English.	General guidance	አጠቃላይ መመሪያ	Qajeelfama waliigalaa	ሓፈሻዊ መምርሒ	Hagitaan guud	Mwongozo wa jumla	
ui.label_routed_to_person	Button, label or placeholder. Keep it short — it has to fit the same space as the English.	Routed to a person	ወደ ሰው ተላልፏል	Gara namaatti dabarfameera	ናብ ሰብ ተመሓላሊፉ	Loo gudbiyay qof	Imeelekezwa kwa mtu	
ui.n_sources	Button, label or placeholder. Keep it short — it has to fit the same space as the English.	{n} sources	{n} ምንጮች	Maddoota {n}	{n} ምንጭታት	{n} ilo	Vyanzo {n}	
ui.one_source	Button, label or placeholder. Keep it short — it has to fit the same space as the English.	{n} source	{n} ምንጭ	Madda {n}	{n} ምንጪ	{n} il	Chanzo {n}	
ui.today	Button, label or placeholder. Keep it short — it has to fit the same space as the English.	Today	ዛሬ	Har'a	ሎሚ	Maanta	Leo	
ui.yesterday	Button, label or placeholder. Keep it short — it has to fit the same space as the English.	Yesterday	ትናንት	Kaleessa	ትማሊ	Shalay	Jana	
								
— admin panel labels below —								
admin.nav_dashboard	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Dashboard	ዳሽቦርድ	Daashboordii	ዳሽቦርድ	Dashboard-ka	Dashibodi	
admin.nav_performance	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Performance	አፈጻጸም	Raawwii	ኣፈጻጽማ	Waxqabadka	Utendaji	
admin.perf_open_escalations	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Open escalations	ክፍት የተላለፉ ጥያቄዎች	Gaaffiiwwan ol dabarfaman banaa	ክፉታት ዝተመሓላለፉ ሕቶታት	Su'aalaha kor loo gudbiyay ee furan	Masuala yaliyoelekezwa yaliyo wazi	
admin.perf_n_urgent	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	{n} urgent	{n} አስቸኳይ	{n} ariifachiisaa	{n} ህጹጽ	{n} degdeg ah	{n} ya dharura	
admin.perf_avg_resolution	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Avg. time to resolve	አማካይ የመፍትሔ ጊዜ	Yeroo furmaataa giddu-galeessa	ገምጋም ግዜ ፍታሕ	Celceliska waqtiga xallinta	Wastani wa muda wa utatuzi	
admin.perf_n_resolved	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	{n} resolved in this window	{n} በዚህ ጊዜ ውስጥ ተፈትተዋል	{n} yeroo kana keessatti furaman	{n} ኣብዚ ግዜ ተፈቲሖም	{n} ayaa la xalliyay muddadan	{n} yametatuliwa katika kipindi hiki	
admin.perf_live_calls	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Live calls taken	የተካሄዱ ቀጥታ ጥሪዎች	Bilbilawwan kallattii fudhataman	ዝተኻየዱ ቀጥታዊ ጻውዒታት	Wicitaannada tooska ah ee la qaatay	Simu za moja kwa moja zilizopokelewa	
admin.perf_n_abandoned	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	{n} gave up before a teller answered	{n} ቴለር ከመመለሱ በፊት ተስፋ ቆርጠዋል	{n} osoo qaxxaamuraan hin deebi'in dhiisan	{n} ቅድሚ ተለር ምምላሱ ገዲፎም	{n} ayaa quustay ka hor inta uusan khabiirku ka jawaabin	{n} waliacha kabla mhudumu hajajibu	
admin.perf_all_reached	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Nobody gave up waiting	ማንም ተጠባብቆ አልተወም	Namni eeggachaa dhiise hin jiru	ዝገደፈ ተጸባዪ የለን	Cidna ma quusan sugitaanka	Hakuna aliyeacha kusubiri	
admin.perf_avg_wait	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Avg. wait for a teller	ለቴለር አማካይ የመጠበቂያ ጊዜ	Eeggii qaxxaamuraa giddu-galeessa	ንተለር ገምጋም ግዜ ምጽባይ	Celceliska sugitaanka khabiirka	Wastani wa kusubiri mhudumu	
admin.perf_avg_handle	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Avg. call length: {t}	አማካይ የጥሪ ርዝመት፦ {t}	Dheerina bilbilaa giddu-galeessa: {t}	ገምጋም ንውሓት ጻውዒት፦ {t}	Celceliska dhererka wicitaanka: {t}	Wastani wa urefu wa simu: {t}	
admin.perf_no_calls_yet	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	No calls in this window	በዚህ ጊዜ ውስጥ ጥሪ የለም	Yeroo kana keessa bilbilli hin jiru	ኣብዚ ግዜ ጻውዒት የለን	Wicitaan ma jiro muddadan	Hakuna simu katika kipindi hiki	
admin.perf_desk_load	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Desk load	የዴስክ ጫና	Ba'aa deeskii	ጽዕነት ዴስክ	Culayska miisaska	Mzigo wa madawati	
admin.perf_desk	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Desk	ዴስክ	Deeskii	ዴስክ	Miiska	Dawati	
admin.perf_open	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Open	ክፍት	Banaa	ክፉት	Furan	Wazi	
admin.perf_filed	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Filed	የገቡ	Galmaa'an	ዝኣተዉ	La diiwaangeliyay	Zilizowasilishwa	
